scheme_name,description,min_age,max_age,gender,occupation,income_limit,state,caste,disability,education,benefits,application_process,application_link
PM Kisan Samman Nidhi,Income support scheme for eligible farmer families,18,100,Any,Farmer,999999999,Any,Any,Any,Any,Direct income support for eligible farmer households,Apply through the PM-Kisan portal or nearest agriculture office,https://pmkisan.gov.in/
Ayushman Bharat PM-JAY,Health insurance support for economically vulnerable families,0,120,Any,Any,500000,Any,Any,Any,Any,Health coverage for secondary and tertiary care hospitalization,Check eligibility and apply through PM-JAY portal or an empanelled hospital,https://pmjay.gov.in/
PM Awas Yojana Gramin,Housing assistance for rural low-income families,18,100,Any,Any,300000,Any,Any,Any,Any,Financial assistance for constructing a pucca house,Apply through Gram Panchayat or official PMAY-G process,https://pmayg.nic.in/
National Social Assistance Old Age Pension,Pension support for senior citizens from low-income households,60,120,Any,Any,200000,Any,Any,Any,Any,Monthly pension support,Apply at MeeSeva or local welfare office with age and income proof,https://nsap.nic.in/
Scholarship for Students with Disabilities,Education support for students with benchmark disabilities,5,40,Any,Student,800000,Any,Any,Yes,Any,Scholarship support for school and higher education,Apply on the National Scholarship Portal with disability certificate,https://scholarships.gov.in/
Telangana Rythu Bandhu,Investment support for farmers in Telangana,18,100,Any,Farmer,999999999,Telangana,Any,Any,Any,Per-acre investment support for agricultural land owners,Contact local agriculture extension officer or check state portal,https://rythubandhu.telangana.gov.in/
Telangana Aasara Pension,Social security pension for eligible vulnerable groups in Telangana,57,120,Any,Any,200000,Telangana,Any,Any,Any,Monthly pension assistance,Apply through Gram Panchayat or MeeSeva center,https://www.telangana.gov.in/
Telangana Kalyana Lakshmi Shaadi Mubarak,Marriage assistance for eligible women from low-income families,18,45,Female,Any,200000,Telangana,Any,Any,Any,One-time financial assistance for marriage,Apply through Telangana ePASS portal with required certificates,https://telanganaepass.cgg.gov.in/
AP YSR Rythu Bharosa,Farmer welfare support for eligible farmers in Andhra Pradesh,18,100,Any,Farmer,999999999,Andhra Pradesh,Any,Any,Any,Annual farmer investment assistance,Apply or verify through village secretariat or state portal,https://ysrrythubharosa.ap.gov.in/
AP Jagananna Vidya Deevena,Fee reimbursement support for eligible students in Andhra Pradesh,16,35,Any,Student,250000,Andhra Pradesh,Any,Any,Higher Education,Tuition fee reimbursement for eligible courses,Apply through college or village secretariat process,https://jnanabhumi.ap.gov.in/
Stand Up India,Loan support for women and SC/ST entrepreneurs,18,65,Female,Self Employed,999999999,Any,Any,Any,Any,Bank loans for setting up greenfield enterprises,Apply through Stand Up India portal or participating bank branch,https://www.standupmitra.in/
Post Matric Scholarship for SC Students,Scholarship support for SC students after class 10,15,40,Any,Student,250000,Any,SC,Any,Higher Education,Maintenance allowance and fee support,Apply through state scholarship portal or National Scholarship Portal,https://scholarships.gov.in/
PM Ujjwala Yojana,Free LPG connection support for adult women from poor households,18,100,Female,Any,300000,Any,Any,Any,Any,Security deposit free LPG connection with first refill and stove support,Apply through PMUY portal or nearest LPG distributor,https://www.pmuy.gov.in/
PM Garib Kalyan Anna Yojana,Free food grain support for eligible ration card beneficiaries,0,120,Any,Any,200000,Any,Any,Any,Any,Free monthly food grains through fair price shops,Use eligible ration card at nearest fair price shop or contact food department,https://dfpd.gov.in/pradhan-mantri-garib-kalyan-anna-yojana/en
Sukanya Samriddhi Account,Small savings scheme for girl child education and future expenses,0,10,Female,Any,999999999,Any,Any,Any,School,Government backed savings account for a girl child,Open account at post office or authorised bank with guardian documents,https://www.indiapost.gov.in/VAS/pages/pmodashboard/sukanyasamriddhiaccount.aspx
PM Vishwakarma,Support scheme for traditional artisans and craftspeople,18,100,Any,Self Employed,999999999,Any,Any,Any,Any,Skill training toolkit incentive digital support and collateral free credit,Register through PM Vishwakarma portal via CSC or local authority,https://pmvishwakarma.gov.in/
Telangana Aarogyasri,Health care support for eligible families in Telangana,0,120,Any,Any,500000,Telangana,Any,Any,Any,Cashless treatment for listed procedures in empanelled hospitals,Check eligibility through Aarogyasri portal or Aarogyamitra at hospital,https://aarogyasri.telangana.gov.in/
Telangana KCR Kit,Support for pregnant women delivering in government hospitals,18,45,Female,Any,200000,Telangana,Any,Any,Any,Cash assistance and mother child care kit,Register through KCR Kit portal or government health facility,https://hyderabad.telangana.gov.in/scheme/kcr-kit/
Telangana Rythu Bima,Group life insurance support for farmers in Telangana,18,59,Any,Farmer,999999999,Telangana,Any,Any,Any,Life insurance relief to farmer family after farmer death,Apply through agriculture department field staff and Rythu Bima portal,https://www.rythubharosa.telangana.gov.in/Default_Home.aspx
AP NTR Bharosa Pension,Social security pension for vulnerable residents of Andhra Pradesh,60,120,Any,Any,240000,Andhra Pradesh,Any,Any,Any,Monthly pension for old age widow disabled and other eligible categories,Apply through village or ward secretariat and SSPensions portal,https://sspensions.ap.gov.in/SSP/Home/About
AP Thalliki Vandanam,Education assistance to mothers or guardians of school students in Andhra Pradesh,5,18,Any,Student,240000,Andhra Pradesh,Any,Any,School,Annual education assistance for students from Class 1 to 12,Eligibility verified through school and village or ward secretariat process,https://gsws-nbm.ap.gov.in/NBM/images/GovtSchemesGos/Andhra%20Pradesh%20Thalliki%20Vandanam%20Scheme%20Guidelines.pdf
AP Deepam 2.0,Free LPG cylinder support for eligible women in Andhra Pradesh,18,100,Female,Any,300000,Andhra Pradesh,Any,Any,Any,Three free LPG cylinders per year for eligible households,Apply or verify through MeeSeva and LPG distributor process,https://ap.meeseva.gov.in/
